Course Name,Address,City,Province,Postal Code,Green Fees (Weekday 18-hole),Green Fees (Weekend 18-hole),Email,Website,Notes,Latitude,Longitude
Lionhead Golf Club (Legends Course),8525 Mississauga Road,Brampton,ON,L6Y 0C1,$125-$165 (cart incl.),$125-$165 (cart incl.),Not found,kaneffgolf.com/golf/courses/lionhead/,18-hole championship,43.6278607,-79.7761767
Lionhead Golf Club (Masters Course),8525 Mississauga Road,Brampton,ON,L6Y 0C1,$125-$165 (cart incl.),$125-$165 (cart incl.),Not found,kaneffgolf.com/golf/courses/lionhead/,18-hole championship,43.6278607,-79.7761767
BraeBen Golf Course,5700 Terry Fox Way,Mississauga,ON,L5V 1X7,$65.39,$84.87,Not found,mississauga.ca/golf,City of Mississauga municipal course,43.5994044,-79.6965884
Caledon Country Club,2121 Olde Baseline Road,Caledon,ON,L7C 0K7,$85.00,Not found,Not found,golfcaledon.com,Public 18-hole,43.7858823,-79.9265565
TPC Toronto at Osprey Valley,Hwy 9 & Airport Road,Caledon East,ON,L7C 1V3,Not found,Not found,Not found,tpctoronto.ca,3 x 18-hole courses,43.8478111,-80.0389348
Don Valley Golf Course,4200 Yonge Street,Toronto,ON,M2P 2B5,Not found,Not found,Not found,toronto.ca/golf,City of Toronto municipal,43.7473872,-79.4114093
Humber Valley Golf Course,40 Beattie Ave,Toronto,ON,M9P 3A3,Not found,Not found,Not found,toronto.ca/golf,City of Toronto municipal,43.7245208,-79.5445896
Dentonia Park Golf Course,781 Victoria Park Ave,Toronto,ON,M4C 5L6,Not found,Not found,Not found,toronto.ca/golf,City of Toronto municipal,43.6976376,-79.2893596
Burlington Golf & Country Club,777 Golf Links Road,Burlington,ON,L7R 3X8,Members only,Members only,Not found,burlingtongolfclub.com,"Private, Stanley Thompson design",43.3957325,-79.8981942
Crosswinds Golf Course,2490 Britannia Road,Burlington,ON,L7M 0B2,Not found,Not found,Not found,crosswindsgolf.com,Public 18-hole championship,43.4466837,-79.9127192
Deerfield Golf Club,2363 North Service Rd W,Oakville,ON,L6M 3H8,Not found,Not found,lynn@golfdeerfield.com,golfdeerfield.com,Public 18-hole,43.4184182,-79.7391921
Oakville Golf Club,1154 Third Line,Oakville,ON,L6M 3Z7,Members only,Members only,Not found,oakvillegolfclub.com,Private member-owned,43.4560377,-79.7013398
Dragon's Fire Golf Club,1060 Golf Lane,Flamborough,ON,L0R 1B0,Not found,Not found,Not found,dragonsfiregolf.com,Semi-private 18-hole,43.3813912,-79.9529441
Chedoke Golf Club,1 Cootes Drive,Hamilton,ON,L8S 1B7,Not found,Not found,Not found,hamilton.ca/golf,City of Hamilton municipal,43.2492335,-79.9125336
King's Forest Golf Club,100 Greenhill Ave,Hamilton,ON,L8K 5G9,Not found,Not found,Not found,hamilton.ca/golf,City of Hamilton municipal,43.2148249,-79.8091626
Doon Valley Golf Course,500 Doon Valley Drive,Kitchener,ON,N2P 1A5,Not found,Not found,Not found,kitchener.ca,City of Kitchener municipal 18-hole,43.3941344,-80.3985142
Rockway Golf Course,1455 Rockway Drive,Kitchener,ON,N2G 3A9,Not found,Not found,Not found,kitchener.ca,City of Kitchener municipal 18-hole,43.4346856,-80.4698923
Cambridge Golf Club,1346 Clyde Road,Cambridge,ON,N1R 5S7,Not found,Not found,carla@cambridgegolfclub.com,cambridgegolfclub.com,18-hole semi-private; Phone: (519) 621-5491,43.3811657,-80.2444778
Victoria Park East Golf Club,1096 Victoria Rd. South,Puslinch,ON,N0B 2J0,$39.00,$43.00,Not found,victoriaparkgolf.com,Public 18-hole; Phone: 519.821.2211,43.4767769,-80.1213153
Guelph Lakes Golf & Country Club,Not found,Guelph,ON,,Not found,Not found,Not found,guelphlakesgolf.ca,18-hole,43.5977678,-80.2275118
Conestoga Golf Club,Not found,Conestoga,ON,,Not found,Not found,Not found,,27 holes (semi-private),43.5464667,-80.4991738
Grey Silo Golf Course,1001 Tower Street South,Waterloo,ON,N2V 0C3,Not found,Not found,Not found,greysilo.ca,18-hole public,43.5201558,-80.4752443
Innisbrook Golf Course,Not found,Barrie,ON,,Not found,Not found,Not found,golfinnisbrook.com,18-hole; Phone: 705.721.9210,44.3252571,-79.6624110
Bear Creek Golf Club,3500 Bear Creek Road,Barrie,ON,L4N 9A8,Not found,Not found,Not found,bearcreekgolfing.com,27 holes (3 x 18-hole combos),44.4256710,-79.6948258
Tangle Creek Golf,4730 Sideroad 25,Thornton,ON,L0L 2K0,Not found,Not found,Not found,tanglecreekgolf.com,18-hole,44.3228176,-79.7565527
Heritage Hills Golf Club,Not found,Barrie,ON,,Not found,Not found,Not found,heritagehillsgolfclub.com,"18-hole, 6,800 yards",44.4256710,-79.6948258
