Course Name,Address,City,Province,Postal Code,Green Fees (Weekday 18-hole),Green Fees (Weekend 18-hole),Email,Website,Notes
Lionhead Golf Club (Legends Course),8525 Mississauga Road,Brampton,ON,L6Y 0C1,$125-$165 (cart incl.),$125-$165 (cart incl.),Not found,kaneffgolf.com/golf/courses/lionhead/,18-hole championship
Lionhead Golf Club (Masters Course),8525 Mississauga Road,Brampton,ON,L6Y 0C1,$125-$165 (cart incl.),$125-$165 (cart incl.),Not found,kaneffgolf.com/golf/courses/lionhead/,18-hole championship
BraeBen Golf Course,5700 Terry Fox Way,Mississauga,ON,L5V 1X7,$65.39,$84.87,Not found,mississauga.ca/golf,City of Mississauga municipal course
Caledon Country Club,2121 Olde Baseline Road,Caledon,ON,L7C 0K7,$85.00,Not found,Not found,golfcaledon.com,Public 18-hole
TPC Toronto at Osprey Valley,Hwy 9 & Airport Road,Caledon East,ON,L7C 1V3,Not found,Not found,Not found,tpctoronto.ca,3 x 18-hole courses
Don Valley Golf Course,4200 Yonge Street,Toronto,ON,M2P 2B5,Not found,Not found,Not found,toronto.ca/golf,City of Toronto municipal
Humber Valley Golf Course,40 Beattie Ave,Toronto,ON,M9P 3A3,Not found,Not found,Not found,toronto.ca/golf,City of Toronto municipal
Dentonia Park Golf Course,781 Victoria Park Ave,Toronto,ON,M4C 5L6,Not found,Not found,Not found,toronto.ca/golf,City of Toronto municipal
Burlington Golf & Country Club,777 Golf Links Road,Burlington,ON,L7R 3X8,Members only,Members only,Not found,burlingtongolfclub.com,"Private, Stanley Thompson design"
Crosswinds Golf Course,2490 Britannia Road,Burlington,ON,L7M 0B2,Not found,Not found,Not found,crosswindsgolf.com,Public 18-hole championship
Deerfield Golf Club,2363 North Service Rd W,Oakville,ON,L6M 3H8,Not found,Not found,lynn@golfdeerfield.com,golfdeerfield.com,Public 18-hole
Oakville Golf Club,1154 Third Line,Oakville,ON,L6M 3Z7,Members only,Members only,Not found,oakvillegolfclub.com,Private member-owned
Dragon's Fire Golf Club,1060 Golf Lane,Flamborough,ON,L0R 1B0,Not found,Not found,Not found,dragonsfiregolf.com,Semi-private 18-hole
Chedoke Golf Club,1 Cootes Drive,Hamilton,ON,L8S 1B7,Not found,Not found,Not found,hamilton.ca/golf,City of Hamilton municipal
King's Forest Golf Club,100 Greenhill Ave,Hamilton,ON,L8K 5G9,Not found,Not found,Not found,hamilton.ca/golf,City of Hamilton municipal
Doon Valley Golf Course,500 Doon Valley Drive,Kitchener,ON,N2P 1A5,Not found,Not found,Not found,kitchener.ca,City of Kitchener municipal 18-hole
Rockway Golf Course,1455 Rockway Drive,Kitchener,ON,N2G 3A9,Not found,Not found,Not found,kitchener.ca,City of Kitchener municipal 18-hole
Cambridge Golf Club,1346 Clyde Road,Cambridge,ON,N1R 5S7,Not found,Not found,carla@cambridgegolfclub.com,cambridgegolfclub.com,18-hole semi-private; Phone: (519) 621-5491
Victoria Park East Golf Club,1096 Victoria Rd. South,Puslinch,ON,N0B 2J0,$39.00,$43.00,Not found,victoriaparkgolf.com,Public 18-hole; Phone: 519.821.2211
Guelph Lakes Golf & Country Club,Not found,Guelph,ON,,Not found,Not found,Not found,guelphlakesgolf.ca,18-hole
Conestoga Golf Club,Not found,Conestoga,ON,,Not found,Not found,Not found,,27 holes (semi-private)
Grey Silo Golf Course,1001 Tower Street South,Waterloo,ON,N2V 0C3,Not found,Not found,Not found,greysilo.ca,18-hole public
Innisbrook Golf Course,Not found,Barrie,ON,,Not found,Not found,Not found,golfinnisbrook.com,18-hole; Phone: 705.721.9210
Bear Creek Golf Club,3500 Bear Creek Road,Barrie,ON,L4N 9A8,Not found,Not found,Not found,bearcreekgolfing.com,27 holes (3 x 18-hole combos)
Tangle Creek Golf,4730 Sideroad 25,Thornton,ON,L0L 2K0,Not found,Not found,Not found,tanglecreekgolf.com,18-hole
Heritage Hills Golf Club,Not found,Barrie,ON,,Not found,Not found,Not found,heritagehillsgolfclub.com,"18-hole, 6,800 yards"
Innisfil Creek Golf Course,239 Reive Blvd,Cookstown,ON,L0L 1L0,Not found,Not found,info@innisfilcreekgolf.com,innisfilcreekgolf.com,18-hole; Phone: not listed
National Pines Golf Club,8165 10 Sideroad,Innisfil,ON,L9S 4T3,Not found,Not found,Not found,nationalpines.ca,Private members course; Phone: (705) 431-7000
The Nest Golf Club at Friday Harbour,1 Marina Way,Innisfil,ON,L9S 0M5,Not found,Not found,Not found,fridayharbour.com/golf-the-nest,18-hole resort course
Angus Glen Golf Club (North Course),10080 Kennedy Road,Markham,ON,L6C 1N9,Not found,Not found,Not found,angusglen.com,World-class public championship
Angus Glen Golf Club (South Course),10080 Kennedy Road,Markham,ON,L6C 1N9,Not found,Not found,Not found,angusglen.com,World-class public championship
Cardinal Golf Club,2740 Davis Drive W,King,ON,L7B 0L3,Not found,Not found,Not found,cardinalgolfcomplex.com,Multiple 18-hole courses
Copper Creek Golf Club,10651 Hwy 27,Kleinburg,ON,L0J 1C0,Not found,Not found,Not found,coppercreek.ca,Top public course in Canada
Richmond Hill Golf Club,8905 Bathurst Street,Richmond Hill,ON,L4E 0B7,Not found,Not found,Not found,richmondhillgolf.com,"18-hole; Spring $95, In-season higher"
Bloomington Downs Golf Course,Not found,Richmond Hill,ON,L4E 3E6,Not found,Not found,info@bloomingtondowns.ca,bloomingtondowns.ca,18-hole; Phone: 905-773-1936
Bathurst Glen Golf Course,Not found,Richmond Hill,ON,,Not found,Not found,Not found,bathurstglengolf.ca,"Public 18-hole, Ontario Provincial Gov."
St. Andrew's Valley Golf Club,Not found,Aurora,ON,,Not found,Not found,Not found,standrewsvalley.com,30 min north of Toronto
Bushwood Golf Club,Not found,Markham,ON,,Not found,Not found,Not found,bushwoodgolf.com,18-hole championship par 72
Pickering Glen Golf Club,Not found,Pickering,ON,,Not found,Not found,Not found,pickeringglen.com,18-hole public
Pickering Golf Club,Not found,Pickering,ON,,Not found,Not found,Not found,pickeringgolfclub.com,18-hole
Royal Ashburn Golf Club,Not found,Whitby,ON,,Not found,Not found,Not found,royalashburngolfclub.com,18-hole public
Deer Creek Golf Club,Not found,Ajax,ON,,Not found,Not found,Not found,mydeercreek.com,"18-hole public, Durham Region"
Harmony Creek Golf Centre,Not found,Oshawa,ON,,Not found,Not found,Not found,harmonycreekgolf.com,18-hole public
Riverside Golf Club,Not found,Ajax,ON,,Not found,Not found,Not found,riversidegolfclub.ca,18-hole
4 Seasons Country Club,Not found,Durham Region,ON,,Not found,Not found,Not found,4seasonscountryclub.ca,18-hole scenic course
Niagara Falls Golf Club,6169 Garner Road,Niagara Falls,ON,L2E 6S4,Not found,Not found,Not found,niagarafallsgolf.com,Par 72 18-hole
St. Catharines Golf and Country Club,70 Westchester Ave,St. Catharines,ON,L2R 3P4,Not found,Not found,info@stgcc.com,stgcc.com,Private club
Sawmill Golf Course,Not found,Niagara,ON,,Not found,Not found,Not found,sawmillgolf.com,18 memorable holes
Legends on the Niagara (Battlefield Course),Not found,Niagara Falls,ON,,Not found,Not found,Not found,niagaraparks.com/golf,Championship 18-hole; Niagara Parks
Legends on the Niagara (Ussher's Creek Course),Not found,Niagara Falls,ON,,Not found,Not found,Not found,niagaraparks.com/golf,Championship 18-hole; Niagara Parks
Grand Niagara Golf,Not found,Niagara Falls,ON,,Not found,Not found,Not found,,18-hole
Thundering Waters Golf Club,6000 Marineland Parkway,Niagara Falls,ON,L2G 0E3,Not found,Not found,Not found,,18-hole
Niagara National Golf & Country Club,Not found,Niagara Falls,ON,,Not found,Not found,clubinfo@niagaranational.ca,niagaranational.ca,18-hole; membership/tournament inquiries
Kawartha Golf and Country Club,Not found,Peterborough,ON,,"$130.00 (before 3pm), $105.00 (after 3pm)","$130.00 (before 3pm), $105.00 (after 3pm)",Not found,kawarthagolf.ca,18-hole Stanley Thompson design
Lindsay Golf & Country Club,Not found,Lindsay,ON,,Not found,Not found,Not found,lindsaygolf.ca,"18-hole championship, Kawartha Lakes"
Cardinal 18 Golf Club,Not found,Lindsay,ON,,Not found,Not found,Not found,cardinal18.com,18-hole championship
Brantford Golf & Country Club,60 Ava Road,Brantford,ON,N3T 5H2,Members only,Members only,info@brantfordgolf-cc.com,brantfordgolfandcountryclub.com,Private club; Phone: 519-752-3731
Walter Gretzky Municipal Golf Course,Not found,Brantford,ON,,Not found,Not found,Not found,brantford.ca,18-hole championship municipal
Paris Grand Golf Club,150 Paris Links Road,Paris,ON,N3L 3E2,$40-$49,$50-$59,Not found,,18-hole semi-private
Glencairn Golf Club,9807 Regional Road 25,Halton Hills,ON,L9T 2X7,Not found,Not found,Not found,glencairn.clublink.ca,ClubLink; Phone: 905-876-3666
Royal Ontario Golf Club,Not found,Milton,ON,,Not found,Not found,Not found,,18-hole
